Owner;Waiver;Moves;Trades
Dennis;10;36;4
Fabian;6;35;7
Kevin;7;70;2
Peter;9;26;3
Dominic;5;32;1
Alexander;8;72;4
Steffen;4;15;0
Tobias;1;25;9
Jan;2;17;0
Florian;3;20;2
